Altium Designer Pick and Place Locations
C:\Users\avishniakov\Documents\workspace\PDoA\HW\Tag_DWM1003\Final PCB database\..\Assembly Output\Pick Place for TAG_V2.csv

========================================================================================================================
File Design Information:

Date:       22/01/19
Time:       15:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C30","12pF","TopLayer","C0201","416.339","482.284","0","CAP CER 12PF 25V NP0 0201"
"C29","12pF","TopLayer","C0201","461.811","466.142","360","CAP CER 12PF 25V NP0 0201"
"C28","330pF","TopLayer","C0201","461.811","487.008","360","CAP CER 330PF 25V X7R 0201"
"C27","100nF","TopLayer","C0201","459.842","507.874","360","CAP CER 0.1UF 25V X6S 0201"
"C26","22uF","TopLayer","C0805","425.984","596.850","270","CAP CER 22UF 6.3V X5R 0805"
"C25","47uF","TopLayer","C0805","499.016","102.362","360","CAP CER 47UF 6.3V X5R 0603"
"C24","100nF","TopLayer","C0201","417.323","461.614","360","CAP CER 0.1UF 25V X6S 0201"
"C23","12pF","TopLayer","C0201","489.961","525.787","270","CAP CER 12PF 25V NP0 0201"
"C21","12pF","TopLayer","C0201","523.819","525.787","270","CAP CER 12PF 25V NP0 0201"
"C20","10nF","TopLayer","C0201","554.134","462.598","360","CAP CER 10000PF 25V X5R 0201"
"C19","18pF","TopLayer","C0201","617.126","415.354","270","CAP CER 18PF 50V NP0 0201"
"C18","100nF","TopLayer","C0201","322.047","357.284","360","CAP CER 0.1UF 25V X6S 0201"
"C17","100nF","TopLayer","C0201","319.291","388.779","360","CAP CER 0.1UF 25V X6S 0201"
"C16","100nF","TopLayer","C0201","662.402","434.055","270","CAP CER 0.1UF 25V X6S 0201"
"C14","100nF","TopLayer","C0201","330.315","426.378","360","CAP CER 0.1UF 25V X6S 0201"
"C13","820pF","TopLayer","C0201","639.764","415.354","270","CAP CER 820PF 25V X7R 0201"
"C11","27pF","TopLayer","C0201","655.512","357.284","360","CAP CER 27PF 25V NP0 0201"
"C10","100nF","TopLayer","C0201","629.921","378.937","360","CAP CER 0.1UF 25V X6S 0201"
"C9","100nF","TopLayer","C0201","331.693","289.370","270","CAP CER 0.1UF 25V X6S 0201"
"C8","100nF","TopLayer","C0201","640.748","292.323","0","CAP CER 0.1UF 25V X6S 0201"
"C7","100nF","TopLayer","C0201","639.764","312.992","0","CAP CER 0.1UF 25V X6S 0201"
"C4","100nF","TopLayer","C0201","587.598","178.150","180","CAP CER 0.1UF 25V X6S 0201"
"C2","100nF","TopLayer","C0201","485.236","163.386","90","CAP CER 0.1UF 25V X6S 0201"
"C1","100nF","TopLayer","C0201","505.906","163.386","90","CAP CER 0.1UF 25V X6S 0201"
"A2","AT3216-B2R7HAAT","TopLayer","AT3216","91.535","782.480","180","CHIP, 2.45GHZ, 50 OHM, 3.2x1.6 ACX - AAT3216-B2R7HAAT- ANTENNA"
"U6","NRF52832-CIAA","TopLayer","BGA50C40P7X8_295X322X50","158.465","580.709","180","IC RF TXRX+MCU BLUETOOTH 50WLCSP"
"C22","12pF","TopLayer","C0201","634.842","67.913","180","CAP CER 12PF 25V NP0 0201"
"U4","LIS2MDLTR","TopLayer","IC_LGA-12","251.970","336.614","180",""
"X1","32.00 MHz - 2CAS","TopLayer","ABM10","317.913","495.079","90",""
"J1.16","EDGE_PIN","TopLayer","PCB_EDGE_1MM","5.906","84.646","90","PCB Edge pin"
"J1.17","EDGE_PIN","TopLayer","PCB_EDGE_1MM","5.906","45.276","90","PCB Edge pin"
"J1.13","EDGE_PIN","TopLayer","PCB_EDGE_1MM","5.906","202.756","90","PCB Edge pin"
"R10","0R","TopLayer","R0201","127.953","297.244","360","RES SMD 0.0OHM JUMPER 1/20W 0201"
"R11","0R","TopLayer","R0201","187.992","387.795","180","RES SMD 0.0OHM JUMPER 1/20W 0201"
"T2","TestPAD","TopLayer","Testpad","324.803","161.417","0",""
"T3","TestPAD","TopLayer","Testpad","309.055","328.740","360",""
"C39","100nF","TopLayer","C0201","255.905","188.976","180","CAP CER 0.1UF 25V X6S 0201"
"C45","100nF","TopLayer","C0201","92.520","222.441","90","CAP CER 0.1UF 25V X6S 0201"
"C57","220nF","TopLayer","C0201","248.031","389.764","360","CAP CER 220NF 25V X6S 0201"
"U7","LSM6DSLTR","TopLayer","IC_LGA-14","169.291","230.315","0",""
"J35","SMA/FLANGE","TopLayer","SMA_KHD3800","475.394","819.882","270","SMA FLANGE JACK"
