Altium Designer Pick and Place Locations
C:\Users\ldgau\Desktop\SwarmUS_ALTIUM\Electrical\02 - HIVE_BOARD\01 - SCHEMAS ET PCB\99 - WORKING COPY\Project_Outputs\REV Project_PCB_Rev.Project_SCH_Rev (2021-07-06)\04 - ASSEMBLY\HIVE_BOARD_PANEL PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       06-07-21
Time:       12:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"U11C","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","3586,680","4336,441","270"
"U11A","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","752,035","4336,441","270"
"U1","ARM® Cortex®-M7 series Microcontroller IC 32-Bit 550MHz 1MB (1M x 8) FLASH 564K RAM - 144-LQFP (20x20)","TopLayer","2882,920","2451,350","90"
"J17","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J15","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J13","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J12","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J10","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","9681,988","2195,309","180"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","6609,626","2212,645","180"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","6609,626","4563,560","180"
"D28","TVS - 3.3V 10.3V 600W - DO214AA","TopLayer","4280,525","2666,458","180"
"D20A","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","1623,931","3802,716","180"
"D20B","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","3041,254","3802,716","180"
"D20C","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","4458,577","3802,716","180"
"D14B","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","1989,379","3805,748","180"
"D14C","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","3406,702","3805,748","180"
"D14A","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","572,057","3805,748","180"
"D17C","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","3406,702","3858,252","180"
"D17B","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1989,379","3858,252","180"
"D17A","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","572,056","3858,252","180"
"D19A","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1624,702","3854,252","180"
"D19B","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","3042,025","3854,252","180"
"D19C","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","4459,348","3854,252","180"
"D25","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,233","1349,973","180"
"D24","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1164,448","180"
"D23","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1226,290","180"
"D22","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1288,131","180"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1102,606","180"
"D4","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1040,764","180"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","10113,262","956,893","60"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","10206,453","903,172","60"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","10161,671","930,003","60"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","10705,688","1010,657","120"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","10752,606","1034,215","120"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","10795,857","1061,322","120"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7040,900","974,229","60"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7134,091","920,508","60"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7089,309","947,339","60"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7633,326","1027,993","120"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7680,244","1051,551","120"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7723,495","1078,659","120"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7040,900","3325,144","60"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7134,091","3271,424","60"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7089,309","3298,254","60"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7633,326","3378,908","120"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7680,244","3402,466","120"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7723,495","3429,574","120"
"D27","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","4269,127","2845,512","180"
"D16B","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","2559,001","5206,854","180"
"D11B","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","2558,955","5033,068","360"
"D16C","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","4153,544","4879,921","180"
"D16A","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","1692,915","5137,795","90"
"D11C","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","3425,198","5137,795","90"
"D11A","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","964,568","4879,921","360"
"D3","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","1622,702","1845,252","90"
"D1","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","10101,721","2701,982","90"
"D1","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","7029,359","2719,318","90"
"D1","TVS - BIDIR 5V 9.2V 600W - DO214AA","TopLayer","7029,359","5070,234","90"
"U8","TIM_FAN -  Clock Fanout Buffer 1.25GHz , Multiplexer IC 2:6 - 24-VFQFN EP","TopLayer","2559,214","3488,700","360"
"U7","TIM_FAN -  Clock Fanout Buffer 1.25GHz , Multiplexer IC 2:6 - 24-VFQFN EP","TopLayer","3004,092","3488,700","360"
"Q1","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","1659,702","1621,252","90"
"U2","REG_DC DC CONVERTER 3~18V input 0.8~5.2V output 3A - 10-SMD","TopLayer","2256,049","1512,035","360"
"R22","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","10210,726","2417,560","360"
"R21","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","10282,254","2413,596","360"
"R22","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","7138,364","2434,896","360"
"R21","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","7209,891","2430,932","360"
"R22","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","7138,364","4785,811","360"
"R21","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","7209,891","4781,848","360"
"R30","RES -  200k ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","TopLayer","11266,669","1345,325","210"
"R30","RES -  200k ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","TopLayer","8194,307","1362,661","210"
"R30","RES -  200k ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","TopLayer","8194,307","3713,576","210"
"R48","RES - 10R 1% 1/16W - 0402","TopLayer","3689,822","2215,825","90"
"R47","RES - 10R 1% 1/16W - 0402","TopLayer","3689,822","2334,233","90"
"R19","RES - 10R 1% 1/16W - 0402","TopLayer","4037,708","2418,560","180"
"R18","RES - 10R 1% 1/16W - 0402","TopLayer","3954,646","2418,560","360"
"R30","RES - 0 ohm jumper 1/10W - 0603","TopLayer","766,942","1108,669","270"
"R16","RES - 0 ohm jumper 1/10W - 0603","TopLayer","10066,702","2355,526","360"
"R15","RES - 0 ohm jumper 1/10W - 0603","TopLayer","10066,702","2299,423","180"
"R14","RES - 0 ohm jumper 1/10W - 0603","TopLayer","10582,859","2368,330","180"
"R13","RES - 0 ohm jumper 1/10W - 0603","TopLayer","10582,850","2309,266","360"
"R16","RES - 0 ohm jumper 1/10W - 0603","TopLayer","6994,340","2372,862","360"
"R15","RES - 0 ohm jumper 1/10W - 0603","TopLayer","6994,340","2316,759","180"
"R14","RES - 0 ohm jumper 1/10W - 0603","TopLayer","7510,497","2385,666","180"
"R13","RES - 0 ohm jumper 1/10W - 0603","TopLayer","7510,487","2326,602","360"
"R16","RES - 0 ohm jumper 1/10W - 0603","TopLayer","6994,340","4723,777","360"
"R15","RES - 0 ohm jumper 1/10W - 0603","TopLayer","6994,340","4667,675","180"
"R14","RES - 0 ohm jumper 1/10W - 0603","TopLayer","7510,497","4736,581","180"
"R13","RES - 0 ohm jumper 1/10W - 0603","TopLayer","7510,487","4677,517","360"
"R104B","RES - 84R5 1% 1/16W - 0402","TopLayer","2327,794","4495,054","360"
"R103B","RES - 84R5 1% 1/16W - 0402","TopLayer","2426,794","4494,838","360"
"R104C","RES - 84R5 1% 1/16W - 0402","TopLayer","3745,117","4495,054","360"
"R104A","RES - 84R5 1% 1/16W - 0402","TopLayer","910,471","4495,054","360"
"R103C","RES - 84R5 1% 1/16W - 0402","TopLayer","3844,117","4494,838","360"
"R103A","RES - 84R5 1% 1/16W - 0402","TopLayer","1009,471","4494,838","360"
"R6","RES - 84R5 1% 1/16W - 0402","TopLayer","10827,648","2363,186","360"
"R5","RES - 84R5 1% 1/16W - 0402","TopLayer","10925,954","2365,368","360"
"R6","RES - 84R5 1% 1/16W - 0402","TopLayer","7755,286","2380,521","360"
"R5","RES - 84R5 1% 1/16W - 0402","TopLayer","7853,592","2382,704","360"
"R6","RES - 84R5 1% 1/16W - 0402","TopLayer","7755,286","4731,437","360"
"R5","RES - 84R5 1% 1/16W - 0402","TopLayer","7853,592","4733,619","360"
"R44","RES - 49.9 R ±1% 1/16W -  0402","TopLayer","3894,843","1988,829","270"
"R43","RES - 49.9 R ±1% 1/16W -  0402","TopLayer","3942,201","1988,829","270"
"R42","RES - 49.9 R ±1% 1/16W -  0402","TopLayer","3800,129","1989,270","270"
"R41","RES - 49.9 R ±1% 1/16W -  0402","TopLayer","3847,486","1988,829","270"
"R130","RES -  47ohm ±1% 0.063W, 1/16W Chip Resistor 0402","TopLayer","3222,612","1949,618","90"
"R15","RES - 47k ±1% 1/16W - 0402","TopLayer","2386,630","1535,732","360"
"R108B","RES - 40.2K 1% 1/16W - 0402","TopLayer","2597,059","3928,472","360"
"R108C","RES - 40.2K 1% 1/16W - 0402","TopLayer","4014,381","3928,472","360"
"R108A","RES - 40.2K 1% 1/16W - 0402","TopLayer","1179,736","3928,472","360"
"R179","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2720,496","2956,003","270"
"R174C","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3639,171","3977,004","360"
"R174B","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2221,848","3977,004","360"
"R174A","RES - 33 OHM 1% 1/16W - 0402","TopLayer","804,525","3977,004","360"
"R164C","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3814,671","3977,004","180"
"R164B","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2397,348","3977,004","180"
"R164A","RES - 33 OHM 1% 1/16W - 0402","TopLayer","980,025","3977,004","180"
"R169","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2933,702","1944,252","90"
"R173","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3385,702","2637,252","360"
"R172","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3385,702","2597,627","360"
"R171","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2384,202","2509,252","180"
"R170","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2974,021","1944,567","90"
"R168","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3193,229","2954,398","270"
"R167","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3251,921","2954,398","270"
"R166","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2382,702","2755,252","180"
"R165","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3294,184","2954,398","270"
"R163","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2382,338","2798,664","180"
"R162","RES - 33 OHM 1% 1/16W - 0402","TopLayer","3385,625","2676,491","180"
"R161","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2383,791","2551,139","360"
"R82","RES - 33 OHM 1% 1/16W - 0402","TopLayer","2781,693","3307,201","180"
"R11","RES - 33 OHM 1% 1/16W - 0402","TopLayer","10850,715","2003,140","90"
"R10","RES - 33 OHM 1% 1/16W - 0402","TopLayer","10899,992","2001,108","90"
"R11","RES - 33 OHM 1% 1/16W - 0402","TopLayer","7778,353","2020,476","90"
"R10","RES - 33 OHM 1% 1/16W - 0402","TopLayer","7827,629","2018,444","90"
"R11","RES - 33 OHM 1% 1/16W - 0402","TopLayer","7778,353","4371,391","90"
"R10","RES - 33 OHM 1% 1/16W - 0402","TopLayer","7827,629","4369,359","90"
"R72","RES - 2.2K 1% 1/16W - 0402","TopLayer","899,373","3329,157","270"
"R51","RES - 270R 1% 1/16W - 0402","TopLayer","3653,930","1203,158","360"
"R49","RES - 270R 1% 1/16W - 0402","TopLayer","3652,700","1252,926","360"
"R37","RES - 270R 1% 1/16W - 0402","TopLayer","9926,983","1724,568","270"
"R37","RES - 270R 1% 1/16W - 0402","TopLayer","6854,621","1741,904","270"
"R37","RES - 270R 1% 1/16W - 0402","TopLayer","6854,621","4092,820","270"
"R132","RES - 1M 1% 1/16W - 0402","TopLayer","1213,716","2424,282","270"
"R70","RES - 1 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","TopLayer","1147,616","3032,062","90"
"R183","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2762,963","3033,062","90"
"R182","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2805,430","3032,985","270"
"R11","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2545,292","1040,750","360"
"R3","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2546,233","1406,333","180"
"R63","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1249,897","2592,919","180"
"R90","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2653,420","3321,155","270"
"R89","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2612,445","3321,155","270"
"R88","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2571,471","3321,232","90"
"R87","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2530,496","3321,155","270"
"R86","RES - 1K OHM 1% 1/16W - 0402","TopLayer","3123,892","3321,752","270"
"R85","RES - 1K OHM 1% 1/16W - 0402","TopLayer","3083,092","3321,752","270"
"R84","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2959,502","3321,829","90"
"R83","RES - 1K OHM 1% 1/16W - 0402","TopLayer","3042,292","3321,829","90"
"R81","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2918,702","3321,752","270"
"R80","RES - 1K OHM 1% 1/16W - 0402","TopLayer","3001,492","3321,752","270"
"R38","RES - 1K OHM 1% 1/16W - 0402","TopLayer","579,191","3048,767","360"
"R28","RES - 1K OHM 1% 1/16W - 0402","TopLayer","3816,009","2789,784","360"
"R27","RES - 1K OHM 1% 1/16W - 0402","TopLayer","3816,009","2832,050","360"
"R22","RES - 1K OHM 1% 1/16W - 0402","TopLayer","2386,630","1492,717","180"
"R12","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1640,352","1377,172","360"
"R8","RES - 1K OHM 1% 1/16W - 0402","TopLayer","577,530","3350,581","360"
"R20","RES - 1K OHM 1% 1/16W - 0402","TopLayer","10147,564","2119,108","360"
"R19","RES - 1K OHM 1% 1/16W - 0402","TopLayer","10147,554","2073,938","360"
"R7","RES - 1K OHM 1% 1/16W - 0402","TopLayer","11025,797","2619,542","240"
"R20","RES - 1K OHM 1% 1/16W - 0402","TopLayer","7075,202","2136,444","360"
"R19","RES - 1K OHM 1% 1/16W - 0402","TopLayer","7075,192","2091,274","360"
"R7","RES - 1K OHM 1% 1/16W - 0402","TopLayer","7953,435","2636,878","240"
"R20","RES - 1K OHM 1% 1/16W - 0402","TopLayer","7075,202","4487,359","360"
"R19","RES - 1K OHM 1% 1/16W - 0402","TopLayer","7075,192","4442,190","360"
"R7","RES - 1K OHM 1% 1/16W - 0402","TopLayer","7953,435","4987,793","240"
"R45","RES - 1.5K 1% 1/16W - 0402","TopLayer","3672,155","2275,906","180"
"R36","RES - 16k OHM 1% 1/16W - 0402","TopLayer","10093,890","1822,720","90"
"R36","RES - 16k OHM 1% 1/16W - 0402","TopLayer","7021,528","1840,056","90"
"R36","RES - 16k OHM 1% 1/16W - 0402","TopLayer","7021,528","4190,971","90"
"R26","RES - 15K 1% 1/16W - 0402","TopLayer","2370,541","1638,348","270"
"R150","RES - 150R 1% 1/16W - 0402","TopLayer","3981,256","2713,465","180"
"R149","RES - 150R 1% 1/16W - 0402","TopLayer","3651,919","2712,495","180"
"R148","RES - 150R 1% 1/16W - 0402","TopLayer","4322,913","3133,151","90"
"R147","RES - 150R 1% 1/16W - 0402","TopLayer","4021,191","3133,151","90"
"R146","RES - 150R 1% 1/16W - 0402","TopLayer","4366,016","3133,151","90"
"R145","RES - 150R 1% 1/16W - 0402","TopLayer","4064,294","3133,151","90"
"R144","RES - 150R 1% 1/16W - 0402","TopLayer","4279,809","3133,151","90"
"R143","RES - 150R 1% 1/16W - 0402","TopLayer","3978,088","3133,151","90"
"R142","RES - 150R 1% 1/16W - 0402","TopLayer","4236,706","3133,151","90"
"R141","RES - 150R 1% 1/16W - 0402","TopLayer","3934,985","3133,151","90"
"R140","RES - 150R 1% 1/16W - 0402","TopLayer","4107,397","3133,151","90"
"R139","RES - 150R 1% 1/16W - 0402","TopLayer","3805,675","3133,151","90"
"R138","RES - 150R 1% 1/16W - 0402","TopLayer","4150,500","3133,151","90"
"R137","RES - 150R 1% 1/16W - 0402","TopLayer","3848,778","3133,151","90"
"R136","RES - 150R 1% 1/16W - 0402","TopLayer","4193,603","3133,151","90"
"R135","RES - 150R 1% 1/16W - 0402","TopLayer","3891,881","3133,151","90"
"R71","RES - 150R 1% 1/16W - 0402","TopLayer","645,542","3452,519","270"
"R39","RES - 150R 1% 1/16W - 0402","TopLayer","650,780","2874,378","270"
"R9","RES - 150R 1% 1/16W - 0402","TopLayer","650,989","3184,719","270"
"R74","RES - 12k Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","TopLayer","1264,532","2921,931","360"
"R52","RES - 12k Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","TopLayer","2070,702","2373,712","270"
"R50","RES - 12K1 ±1% 1/16W - 0402","TopLayer","3989,558","1989,348","90"
"R35","RES - 11K 1% 1/16W - 0402","TopLayer","10187,551","1879,005","270"
"R35","RES - 11K 1% 1/16W - 0402","TopLayer","7115,189","1896,341","270"
"R35","RES - 11K 1% 1/16W - 0402","TopLayer","7115,189","4247,256","270"
"R1","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","10027,535","4150,730","90"
"R2","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","10532,975","4325,833","90"
"R181","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2694,395","3321,155","270"
"R180","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3123,892","3396,869","270"
"R177","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1860,872","2153,062","90"
"R176","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2318,637","2181,763","90"
"R175","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2277,079","2181,094","90"
"R160","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3769,764","2215,495","270"
"R159","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3769,764","2334,156","270"
"R158","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4037,784","2377,132","360"
"R157","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3954,402","2377,330","180"
"R156","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3729,334","2427,841","90"
"R153","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4086,590","2818,467","270"
"R121","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4089,435","2683,036","90"
"R114","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3757,963","2683,097","90"
"R134","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4010,400","2782,725","360"
"R125","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1679,134","2989,583","180"
"R113C","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4275,625","3790,090","180"
"R113B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2858,302","3790,090","180"
"R113A","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1440,980","3790,090","180"
"R101C","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4275,702","3962,739","360"
"R101B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2858,379","3962,739","360"
"R101A","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1441,056","3962,739","360"
"R133C","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3417,144","4275,734","360"
"R133B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1999,821","4275,734","360"
"R133A","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","582,498","4275,734","360"
"R111A","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1441,056","3833,252","360"
"R111B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2858,379","3833,252","360"
"R111C","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4275,702","3833,252","360"
"R127A","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1291,159","4275,734","360"
"R127B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2708,482","4275,734","360"
"R127C","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4125,805","4275,734","360"
"R96","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4519,312","3620,114","90"
"R109","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","4313,377","2443,053","90"
"R98","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","3302,835","3317,806","270"
"R120","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1530,243","2450,152","270"
"R126","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","1517,912","3621,864","360"
"R122","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2275,040","2406,885","180"
"R116","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2275,040","2363,895","360"
"R124B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2858,302","4005,902","180"
"R112B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2799,010","4286,772","90"
"R93B","RES - 10K OHMS 1% 1/16W - 0402","TopLayer","2090,349","4286,772","90"
